SCHID,LAT,LONG,GEOCODE_STATUS
00010001,-999.0,-999.0,FAILED
00010015,-999.0,-999.0,FAILED
00010020,-999.0,-999.0,FAILED
00010405,-999.0,-999.0,FAILED
00010505,-999.0,-999.0,FAILED
00010815,-999.0,-999.0,FAILED
00020830,-999.0,-999.0,FAILED
00030025,-999.0,-999.0,FAILED
00030305,-999.0,-999.0,FAILED
00030810,-999.0,-999.0,FAILED
00040810,-999.0,-999.0,FAILED
00050003,-999.0,-999.0,FAILED
00050010,-999.0,-999.0,FAILED
00050020,-999.0,-999.0,FAILED
00050025,-999.0,-999.0,FAILED
00050030,-999.0,-999.0,FAILED
00050303,-999.0,-999.0,FAILED
00050405,-999.0,-999.0,FAILED
00050505,-999.0,-999.0,FAILED
00050810,-999.0,-999.0,FAILED
00070005,-999.0,-999.0,FAILED
00070010,-999.0,-999.0,FAILED
00070013,-999.0,-999.0,FAILED
00070505,-999.0,-999.0,FAILED
00070515,-999.0,-999.0,FAILED
00070820,-999.0,-999.0,FAILED
00070865,-999.0,-999.0,FAILED
00080009,-999.0,-999.0,FAILED
00080020,-999.0,-999.0,FAILED
00080050,-999.0,-999.0,FAILED
00080805,-999.0,-999.0,FAILED
00080850,-999.0,-999.0,FAILED
00080860,-999.0,-999.0,FAILED
00090003,-999.0,-999.0,FAILED
00090004,-999.0,-999.0,FAILED
00090005,-999.0,-999.0,FAILED
00090010,-999.0,-999.0,FAILED
00090020,-999.0,-999.0,FAILED
00090025,-999.0,-999.0,FAILED
00090305,-999.0,-999.0,FAILED
00090310,-999.0,-999.0,FAILED
00090350,-999.0,-999.0,FAILED
00090505,-999.0,-999.0,FAILED
00090805,-999.0,-999.0,FAILED
00090820,-999.0,-999.0,FAILED
00090825,-999.0,-999.0,FAILED
00090835,-999.0,-999.0,FAILED
00090850,-999.0,-999.0,FAILED
00100005,42.4248717,-71.1541505,GEOCODED
00100010,42.4123444,-71.176215,GEOCODED
00100025,42.4176994,-71.1878408,GEOCODED
00100030,42.4042399,-71.1452454,GEOCODED
00100038,42.4124894,-71.1588833,GEOCODED
00100045,42.4290757,-71.177754,GEOCODED
00100050,42.4115361,-71.1398441,GEOCODED
00100055,42.4286318,-71.1670269,GEOCODED
00100305,42.4104861,-71.1457808,GEOCODED
